test/episode_score/mean,test/episode_length/mean,step,episode_reward,max_population_reward,best_reward,total_env_steps
334.754277992399,65000,0,334.754277992399,455.8822021484375,334.754277992399,65000
334.754277992399,65000,1,186.47220170311067,458.7110595703125,334.754277992399,130000
370.0387277877047,65000,2,370.0387277877047,453.5494689941406,370.0387277877047,195000
370.0387277877047,65000,3,341.56115875185384,449.1262512207031,370.0387277877047,260000
408.6618159225755,65000,4,408.6618159225755,454.5041198730469,408.6618159225755,325000
408.6618159225755,65000,5,403.80342798880105,452.1020812988281,408.6618159225755,390000
446.56658698829415,65000,6,446.56658698829415,463.75531005859375,446.56658698829415,455000
446.56658698829415,65000,7,293.7628621941434,460.46832275390625,446.56658698829415,520000
446.56658698829415,65000,8,401.00854409181807,457.2148132324219,446.56658698829415,585000
452.7350107394488,65000,9,452.7350107394488,490.28619384765625,452.7350107394488,650000
452.7350107394488,65000,10,394.6502702879457,478.1904602050781,452.7350107394488,715000
461.52443841614195,65000,11,461.52443841614195,470.592041015625,461.52443841614195,780000
461.52443841614195,65000,12,442.83156132284995,498.23565673828125,461.52443841614195,845000
461.52443841614195,65000,13,405.01888798252253,507.6007080078125,461.52443841614195,910000
461.52443841614195,65000,14,455.0297775787099,491.33538818359375,461.52443841614195,975000
472.6926225567384,65000,15,472.6926225567384,503.0142822265625,472.6926225567384,1040000
512.805804741222,65000,16,512.805804741222,497.84588623046875,512.805804741222,1105000
512.805804741222,65000,17,446.26834112671645,516.1240234375,512.805804741222,1170000
512.805804741222,65000,18,416.54627138556253,513.528564453125,512.805804741222,1235000
512.805804741222,65000,19,451.19934719839125,539.1057739257812,512.805804741222,1300000
512.805804741222,65000,20,134.4512533384171,517.36767578125,512.805804741222,1365000
512.805804741222,65000,21,431.37427657413014,552.4678955078125,512.805804741222,1430000
512.805804741222,65000,22,442.8203412080536,684.996337890625,512.805804741222,1495000
512.805804741222,65000,23,168.69816041341622,499.28973388671875,512.805804741222,1560000
512.805804741222,65000,24,369.8712323548235,549.7628784179688,512.805804741222,1625000
512.805804741222,65000,25,459.2125434397077,514.1102294921875,512.805804741222,1690000
512.805804741222,65000,26,310.32715057335304,514.9757080078125,512.805804741222,1755000
512.805804741222,65000,27,449.25152703550845,551.4512939453125,512.805804741222,1820000
512.805804741222,65000,28,465.07067014770763,536.7863159179688,512.805804741222,1885000
512.805804741222,65000,29,469.08100415275936,534.3861694335938,512.805804741222,1950000
512.805804741222,65000,30,477.867481722831,524.1200561523438,512.805804741222,2015000
512.805804741222,65000,31,484.1078732822045,659.0327758789062,512.805804741222,2080000
512.805804741222,65000,32,406.82043611150414,529.0221557617188,512.805804741222,2145000
512.805804741222,65000,33,437.5465149536199,612.698486328125,512.805804741222,2210000
512.805804741222,65000,34,481.8668913181389,559.9868774414062,512.805804741222,2275000
512.805804741222,65000,35,495.04125697162954,619.6815795898438,512.805804741222,2340000
512.805804741222,65000,36,474.1581139278297,549.6262817382812,512.805804741222,2405000
512.805804741222,65000,37,425.1668237025832,558.5130004882812,512.805804741222,2470000
512.805804741222,65000,38,472.43494016303515,612.9826049804688,512.805804741222,2535000
512.805804741222,65000,39,478.25496831153924,526.8030395507812,512.805804741222,2600000
512.805804741222,65000,40,415.80266452089705,785.6738891601562,512.805804741222,2665000
512.805804741222,65000,41,488.35078569060585,604.683837890625,512.805804741222,2730000
512.805804741222,65000,42,488.0057103546672,646.45458984375,512.805804741222,2795000
512.805804741222,65000,43,400.6184520586415,635.8150024414062,512.805804741222,2860000
512.805804741222,65000,44,404.11631185305947,522.3795166015625,512.805804741222,2925000
512.805804741222,65000,45,487.8943823727905,697.6025390625,512.805804741222,2990000
512.805804741222,65000,46,488.07722617350873,644.5829467773438,512.805804741222,3055000
512.805804741222,65000,47,374.7353998833518,520.4371337890625,512.805804741222,3120000
512.805804741222,65000,48,474.5755581012034,551.9534301757812,512.805804741222,3185000
512.805804741222,65000,49,479.5931334236788,660.048095703125,512.805804741222,3250000
512.805804741222,65000,50,512.3729289290195,542.6771240234375,512.805804741222,3315000
512.805804741222,65000,51,-316.74419411853904,533.4174194335938,512.805804741222,3380000
512.805804741222,65000,52,403.7060560388278,604.6524047851562,512.805804741222,3445000
512.805804741222,65000,53,410.1860013032154,620.7752075195312,512.805804741222,3510000
512.805804741222,65000,54,486.02934765914085,725.9900512695312,512.805804741222,3575000
512.805804741222,65000,55,456.67674139173,541.120361328125,512.805804741222,3640000
512.805804741222,65000,56,-176.19658273010026,561.0948486328125,512.805804741222,3705000
539.7102114661536,65000,57,539.7102114661536,882.07080078125,539.7102114661536,3770000
539.7102114661536,65000,58,431.97200147766046,536.1394653320312,539.7102114661536,3835000
539.7102114661536,65000,59,478.7578109793313,656.2510986328125,539.7102114661536,3900000
539.7102114661536,65000,60,73.33902327351832,618.4265747070312,539.7102114661536,3965000
539.7102114661536,65000,61,492.23257636732313,622.7105712890625,539.7102114661536,4030000
539.7102114661536,65000,62,490.13143722817034,579.2943725585938,539.7102114661536,4095000
539.7102114661536,65000,63,-317.0795321399392,655.7177124023438,539.7102114661536,4160000
539.7102114661536,65000,64,517.2977144847295,660.2503051757812,539.7102114661536,4225000
539.7102114661536,65000,65,467.55371501089274,698.79833984375,539.7102114661536,4290000
539.7102114661536,65000,66,478.98634895599804,532.4891357421875,539.7102114661536,4355000
539.7102114661536,65000,67,486.37291088843267,518.9970703125,539.7102114661536,4420000
539.7102114661536,65000,68,466.7167216177023,548.0750732421875,539.7102114661536,4485000
539.7102114661536,65000,69,491.8591819144446,574.911376953125,539.7102114661536,4550000
539.7102114661536,65000,70,439.01415759452897,616.7859497070312,539.7102114661536,4615000
539.7102114661536,65000,71,461.006522341125,725.14990234375,539.7102114661536,4680000
539.7102114661536,65000,72,445.3230205283598,572.4058227539062,539.7102114661536,4745000
539.7102114661536,65000,73,455.29917000128023,756.7855834960938,539.7102114661536,4810000
539.7102114661536,65000,74,493.9737191263018,577.0155029296875,539.7102114661536,4875000
539.7102114661536,65000,75,492.89818582690407,857.4019775390625,539.7102114661536,4940000
539.7102114661536,65000,76,528.7016215899965,553.2765502929688,539.7102114661536,5005000
539.7102114661536,65000,77,489.17816941210714,747.267822265625,539.7102114661536,5070000
539.7102114661536,65000,78,523.7176225455187,722.6597290039062,539.7102114661536,5135000
539.7102114661536,65000,79,414.5828373685776,543.8161010742188,539.7102114661536,5200000
539.7102114661536,65000,80,425.1896004741215,594.5985717773438,539.7102114661536,5265000
539.7102114661536,65000,81,491.65277206234765,807.7398681640625,539.7102114661536,5330000
626.6792613408018,65000,82,626.6792613408018,869.3278198242188,626.6792613408018,5395000
626.6792613408018,65000,83,460.38616256989417,621.360107421875,626.6792613408018,5460000
626.6792613408018,65000,84,538.0107731193751,768.633544921875,626.6792613408018,5525000
626.6792613408018,65000,85,508.3900804249459,582.35791015625,626.6792613408018,5590000
626.6792613408018,65000,86,429.36232047570286,659.7005004882812,626.6792613408018,5655000
626.6792613408018,65000,87,515.7178936342145,663.392333984375,626.6792613408018,5720000
626.6792613408018,65000,88,503.9475666426728,789.9285278320312,626.6792613408018,5785000
626.6792613408018,65000,89,519.276775180826,885.8584594726562,626.6792613408018,5850000
626.6792613408018,65000,90,490.2274814612999,623.2901000976562,626.6792613408018,5915000
626.6792613408018,65000,91,530.5311891720797,729.43115234375,626.6792613408018,5980000
626.6792613408018,65000,92,237.72911085293876,620.7998657226562,626.6792613408018,6045000
626.6792613408018,65000,93,467.51393673335735,760.165771484375,626.6792613408018,6110000
626.6792613408018,65000,94,498.59732579367267,628.3787841796875,626.6792613408018,6175000
626.6792613408018,65000,95,491.3213464969958,790.809326171875,626.6792613408018,6240000
626.6792613408018,65000,96,401.1854149114222,784.1158447265625,626.6792613408018,6305000
626.6792613408018,65000,97,498.0589462146429,527.3307495117188,626.6792613408018,6370000
626.6792613408018,65000,98,493.95321320707154,561.7006225585938,626.6792613408018,6435000
626.6792613408018,65000,99,470.21916464393024,528.9769897460938,626.6792613408018,6500000
