actor/clip_fraction,actor/entropy,actor/iterations,actor/kl,actor/loss,actor/std,actor/stop,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.047276814,-0.8836469,80.0,0.004811704,-0.0028127222,0.10000002,0.0,80.0,0.54544944,0.41143933,1.4302211,0.024830747,-1.325029,5000,0.7868083,1000,1000.0,1000,5,0.0,36.93612,14.282664,0.2087633,5,15.34709,1.3325603,0.057112742,-1.3695794,15000,0.7825604,1000,1000.0,1000,15,0.0,46.091150145744905,7.452468649750517,0.14286526738578686,15,12.246446598360833,15.0,21.861088752746582,15000.0,1.0,21.861088752746582,15000.0,686.1506382254374,15000.0
0.037529755,-0.88364685,80.0,0.004732744,-0.0026766057,0.10000001,0.0,80.0,0.080628306,0.20875445,1.4108181,-0.0065993066,-1.3620477,5000,0.7845766,1000,1000.0,1000,5,0.0,22.5302,6.1240544,0.1437981,5,8.338864,1.3585573,0.04433849,-1.3956099,15000,0.78224826,1000,1000.0,1000,15,0.0,28.37710584240267,3.892636799979664,0.1521340980179957,15,6.839718480793383,30.0,23.19890284538269,15000.0,2.0,45.08001756668091,30000.0,646.5823017568035,30000.0
0.04149984,-0.8836469,80.0,0.0047159833,-0.0034277218,0.10000002,0.0,80.0,0.060409714,-0.6589827,1.3552358,0.025080523,-1.3496912,5000,0.78434855,1000,1000.0,1000,5,0.0,2.9308197,1.5588696,0.3169111,5,1.0571615,1.3802717,0.055631205,-1.3911846,15000,0.7829033,1000,1000.0,1000,15,0.0,6.874721145955846,1.9577073884686493,0.18212780367321102,15,2.052669692295861,45.0,22.026604175567627,15000.0,3.0,67.12737011909485,45000.0,680.9946681040519,45000.0
0.028961945,-0.88364685,80.0,0.004324055,-0.0020722367,0.10000001,0.0,80.0,0.059226535,0.04930659,1.3714769,-0.004714801,-1.3358731,5000,0.78544325,1000,1000.0,1000,5,0.0,10.391097,6.242442,0.5255535,5,3.3097363,1.4304309,0.041351687,-1.3659886,15000,0.7872275,1000,1000.0,1000,15,0.0,23.325664333853638,4.284210299493862,0.16106956606381573,15,5.987782834934897,60.0,22.609378576278687,15000.0,4.0,89.75723648071289,60000.0,663.4414983761519,60000.0
0.037016295,-0.88364685,80.0,0.0030839075,-0.0017233088,0.10000001,0.0,80.0,0.12347201,0.29760408,1.4359846,0.06315276,-1.3510659,5000,0.7869672,1000,1000.0,1000,5,0.0,7.2468195,3.3286324,0.2578381,5,2.5969584,1.3617176,0.062464412,-1.4020201,15000,0.7850174,1000,1000.0,1000,15,0.0,49.38476387193077,8.174377513163684,0.131625987123698,15,14.066225735642428,75.0,25.14803433418274,15000.0,5.0,114.92783212661743,75000.0,596.4680897389696,75000.0
0.01943461,-0.8836469,80.0,0.0022614775,-0.0015633905,0.10000002,0.0,80.0,0.044474807,0.12788036,1.3254827,0.07947384,-1.3151685,5000,0.78872645,1000,1000.0,1000,5,0.0,9.187399,4.8435583,1.1323638,5,2.8198729,1.4269199,0.07547772,-1.3850877,15000,0.78466445,1000,1000.0,1000,15,0.0,19.62320805399213,3.702386573072727,0.08808139936081716,15,5.163039074598079,90.0,30.448646068572998,15000.0,6.0,145.39713859558105,90000.0,492.63274190316037,90000.0
0.0370018,-0.88364685,80.0,0.005162825,-0.0017283518,0.10000001,0.0,80.0,0.05521562,0.30163884,1.3677126,0.07817291,-1.2932134,5000,0.7756467,1000,1000.0,1000,5,0.0,19.349976,7.733959,0.11061086,5,8.19979,1.3964502,0.058199517,-1.3641429,15000,0.7893819,1000,1000.0,1000,15,0.0,40.46694695073529,7.092109939627699,0.27015378151554614,15,11.760629117680539,105.0,28.088999032974243,15000.0,7.0,173.50784063339233,105000.0,534.0168933179568,105000.0
0.03106308,-0.88364685,80.0,0.0022936265,-0.0014505077,0.10000001,0.0,80.0,0.009458478,0.11484168,1.3927337,0.08044431,-1.3144488,5000,0.7793992,1000,1000.0,1000,5,0.0,22.297792,7.118628,1.490551,5,7.710385,1.3857981,0.090842694,-1.3715104,15000,0.773392,1000,1000.0,1000,15,0.0,16.008471814566292,2.5097431818605402,0.16534952379879542,15,4.0904732523652045,120.0,23.649726390838623,15000.0,8.0,197.1791205406189,120000.0,634.2568092377875,120000.0
0.023737589,-0.8836469,80.0,0.0028737953,-0.0011952023,0.10000002,0.0,80.0,0.09060267,0.3396763,1.3204606,0.062573336,-1.3951238,5000,0.78084487,1000,1000.0,1000,5,0.0,4.391685,1.2646762,0.28459907,5,1.5872532,1.3981538,0.07148354,-1.340277,15000,0.77890337,1000,1000.0,1000,15,0.0,42.02786439395277,7.186253905696018,0.13677881204057485,15,12.871439318913408,135.0,22.989022493362427,15000.0,9.0,220.18794965744019,135000.0,652.4853331337129,135000.0
0.051719666,-0.88364685,80.0,0.0047389427,-0.0018473447,0.10000001,0.0,80.0,0.14181848,0.758937,1.3716159,0.065209314,-1.3568,5000,0.7954489,1000,1000.0,1000,5,0.0,8.066206,3.514548,1.5773726,5,2.325447,1.389632,0.07221145,-1.3338001,15000,0.79014677,1000,1000.0,1000,15,0.0,35.90526662147022,6.542824619002446,0.17362759067327715,15,11.309786878000224,150.0,23.42880153656006,15000.0,10.0,243.6382622718811,150000.0,640.2376142284903,150000.0
