actor/loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
-1.6203293,0.00068704993,1.5437303,1.0,0.6,-1.0,5000,0.8,1000,1000.0,1000,5,0.0,112.12776,24.579454,0.31172228,5,43.911316,0.9999559035614456,-0.0009999339770127066,-0.9999933788910853,20000,0.5780723920086305,1000,1000.0,1000,20,0.0,89.01068130880594,10.1545863416497,0.17090173793258145,20,21.726479189891098,20.0,78.84461688995361,20000.0,1.0,78.84461688995361,20000.0,253.6634812737406,20000.0
-6.9894094,0.0031560299,6.873346,1.0,-0.55723757,-1.0,5000,0.66565055,1000,1000.0,1000,5,0.0,99.19575,25.893488,0.20463674,5,37.347637,1.0,0.05382076979409494,-1.0,20000,0.9137259667993192,1000,1000.0,1000,20,0.0,14.84354916587472,1.203639452864445,0.18958595384901855,20,3.145663604038345,40.0,152.14805579185486,20000.0,2.0,231.06075358390808,40000.0,131.45090744610545,40000.0
-10.990287,0.0100107575,10.856801,1.0,-0.35319066,-1.0,5000,0.72592026,1000,1000.0,1000,5,0.0,15.285734,5.2508802,0.2981576,5,5.3375187,1.0,-0.28925723,-1.0,20000,0.762253,1000,1000.0,1000,20,0.0,171.27753868326545,18.910996746287857,0.2133124445535941,20,48.91723221754094,60.0,135.77028512954712,20000.0,3.0,366.9215507507324,60000.0,147.3076379041019,60000.0
-14.006073,0.016177358,13.860328,1.0,-0.16756175,-1.0,5000,0.88200384,1000,1000.0,1000,5,0.0,19.479658,4.4869967,0.2919032,5,7.503747,1.0,-0.34219962,-1.0,20000,0.78102016,1000,1000.0,1000,20,0.0,41.27277163229883,2.808388040517457,0.18858330418879632,20,8.896890511108296,80.0,133.89727687835693,20000.0,4.0,500.89850425720215,80000.0,149.36823560773092,80000.0
-15.1360655,0.024811868,14.990232,1.0,-0.19204791,-1.0,5000,0.82901484,1000,1000.0,1000,5,0.0,68.127045,22.848547,0.1739814,5,26.773802,1.0,-0.25715983,-1.0,20000,0.80455106,1000,1000.0,1000,20,0.0,75.63189247250557,8.074322587384813,0.2042898165382212,20,16.300428946806893,100.0,176.4188094139099,20000.0,5.0,677.4072246551514,100000.0,113.36659660295315,100000.0
