actor/clip_fraction,actor/entropy,actor/iterations,actor/kl,actor/loss,actor/std,actor/stop,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.14889953,1.0532204,23.25,0.008826887,-0.017670551,0.6937118,0.03225806451612903,80.0,3.3368697,4.2898,3.1019719,0.006956807,-2.66651,5000,0.7132963,1000,1000.0,1000,5,0.0,479.97607,219.4526,138.93834,5,131.17824,2.8305314,-0.015947,-3.1778164,20000,0.702438,1000,1000.0,1000,20,0.0,278.74543472751975,130.79161508157193,72.27334133298427,20,48.053336884719506,20.0,22.467068195343018,20000.0,1.0,22.467068195343018,20000.0,890.1918054508602,20000.0
0.1582355,1.0497425,19.6,0.0065371925,-0.01905972,0.6913481,0.04081632653061224,80.0,2.9053736,15.293317,3.2156403,-0.002195422,-3.063072,5000,0.7828169,1000,1000.0,1000,5,0.0,370.36212,316.60678,279.2543,5,34.15883,4.0920067,0.0024364893,-3.7020888,20000,0.7555459,1000,1000.0,1000,20,0.0,352.2799919694662,250.56173203884683,135.42622659169137,20,53.347021907060125,40.0,25.90433645248413,20000.0,2.0,48.41895890235901,40000.0,772.0715038073123,40000.0
0.10119629,1.0476087,4.0,0.0077416166,-0.005639881,0.6898891,0.25,80.0,2.392018,29.898985,3.4622588,0.039448548,-3.5698745,5000,0.89575994,1000,1000.0,1000,5,0.0,532.45746,500.8601,484.47784,5,17.266829,3.2723503,0.030145865,-3.443425,20000,0.84104943,1000,1000.0,1000,20,0.0,569.5417308460455,411.4141386003721,321.19870502722915,20,63.26105300135665,60.0,29.2735493183136,20000.0,3.0,77.74352407455444,60000.0,683.210627536988,60000.0
0.14605296,1.0232892,49.8,0.008713605,-0.019362634,0.6733582,0.008032128514056224,80.0,2.522454,46.343243,3.3861146,0.041248046,-3.098217,5000,0.94071525,1000,1000.0,1000,5,0.0,606.44763,584.97253,573.2566,5,13.357823,3.7251801,0.025928706,-3.3865988,20000,0.91955966,1000,1000.0,1000,20,0.0,599.7956857055542,549.3457632040554,490.4985397164419,20,33.87422850983746,80.0,31.91465187072754,20000.0,4.0,109.70779395103455,80000.0,626.6714135254039,80000.0
0.116615035,1.0031176,5.8,0.008854718,-0.0058044107,0.6599089,0.1724137931034483,80.0,1.3690001,58.299923,3.3076847,0.02362976,-3.5151908,5000,0.9898994,1000,1000.0,1000,5,0.0,707.6217,692.1637,679.62317,5,10.086274,3.7564332,0.010887181,-3.4926114,20000,0.9753567,1000,1000.0,1000,20,0.0,705.2416282285121,651.0705765920393,603.6101103808614,20,30.400761330753415,100.0,27.935340881347656,20000.0,5.0,137.69636011123657,100000.0,715.938999454055,100000.0
0.113437295,0.9924819,19.4,0.008269213,-0.0146321375,0.652996,0.041237113402061855,80.0,1.5434754,68.37094,3.4609509,0.0054818317,-3.3604903,5000,1.0244864,1000,1000.0,1000,5,0.0,767.97473,757.4511,746.54266,5,8.557191,3.7351687,-0.009623483,-3.682208,20000,1.0089457,1000,1000.0,1000,20,0.0,761.9243202343932,730.3946063325427,690.4700229119626,20,19.45117834330268,120.0,29.12432861328125,20000.0,6.0,166.87401223182678,120000.0,686.7111089688646,120000.0
0.12119873,0.9709254,40.0,0.00800612,-0.017346583,0.639204,0.015,80.0,1.5180473,74.4638,3.355126,-0.005412163,-3.5627596,5000,1.0252947,1000,1000.0,1000,5,0.0,816.7367,802.9564,777.634,5,13.310692,3.7568066,-0.010211439,-3.7211518,20000,1.0134534,1000,1000.0,1000,20,0.0,813.7518756091595,779.7518600074618,745.2134219691507,20,19.42349763633239,140.0,29.5657377243042,20000.0,7.0,196.48843622207642,140000.0,676.4586829017026,140000.0
0.11887181,0.9415756,37.6,0.010687897,-0.017146448,0.6207103,0.015957446808510637,80.0,1.334087,79.3111,3.7024515,0.0076808063,-3.221127,5000,1.0105779,1000,1000.0,1000,5,0.0,858.59644,838.1717,797.4487,5,22.107471,3.5268743,0.009205198,-3.290216,20000,1.0158316,1000,1000.0,1000,20,0.0,844.8804461359978,811.3889290596314,792.936804510653,20,14.2411980353169,160.0,29.27512526512146,20000.0,8.0,225.81490874290466,160000.0,683.1738487496109,160000.0
0.12987384,0.9002509,61.25,0.010316452,-0.01828671,0.5957848,0.00816326530612245,80.0,0.66899264,84.01228,3.4458156,-0.003377381,-3.1901793,5000,1.0188386,1000,1000.0,1000,5,0.0,883.6904,870.6901,860.1205,5,7.9295707,3.628104,0.003430236,-3.5684426,20000,1.0150435,1000,1000.0,1000,20,0.0,907.946380674839,854.1172455171952,816.3394481678843,20,23.580418673251614,180.0,29.179102659225464,20000.0,9.0,255.04371118545532,180000.0,685.4220375991125,180000.0
0.11433105,0.8489182,40.0,0.009935739,-0.017762434,0.56609565,0.02,80.0,0.47189263,87.23486,3.228938,0.0025716724,-3.0278492,5000,1.0035536,1000,1000.0,1000,5,0.0,910.5613,892.71954,870.5095,5,13.18553,3.4644613,0.008244732,-3.4497554,20000,1.0109682,1000,1000.0,1000,20,0.0,905.5638794898987,882.6083523737282,861.5608635134995,20,11.00751811682684,200.0,29.088981866836548,20000.0,10.0,284.1778016090393,200000.0,687.5455487426799,200000.0
