test/episode_score/mean,test/episode_length/mean,step,episode_reward,max_population_reward,best_reward,total_env_steps
-187.7755784270036,65000,0,-187.7755784270036,601.6157836914062,-187.7755784270036,65000
-187.7755784270036,65000,1,-401.6716961070601,728.8342895507812,-187.7755784270036,130000
-187.7755784270036,65000,2,-380.3261554839585,884.8523559570312,-187.7755784270036,195000
529.3073658179986,65000,3,529.3073658179986,679.0650024414062,529.3073658179986,260000
529.3073658179986,65000,4,449.7229702922629,772.9851684570312,529.3073658179986,325000
529.3073658179986,65000,5,-260.0735330649458,902.3379516601562,529.3073658179986,390000
529.3073658179986,65000,6,119.17940728432852,1070.352294921875,529.3073658179986,455000
529.3073658179986,65000,7,426.7772173268864,875.0358276367188,529.3073658179986,520000
532.8378490095172,65000,8,532.8378490095172,1056.7913818359375,532.8378490095172,585000
567.8669236070933,65000,9,567.8669236070933,797.0590209960938,567.8669236070933,650000
567.8669236070933,65000,10,432.7439338734845,794.9518432617188,567.8669236070933,715000
601.6238882753281,65000,11,601.6238882753281,791.8815307617188,601.6238882753281,780000
601.6238882753281,65000,12,524.7884586266284,687.4268188476562,601.6238882753281,845000
601.6238882753281,65000,13,490.4579992095327,707.4940795898438,601.6238882753281,910000
601.6238882753281,65000,14,450.89006163727,869.7728271484375,601.6238882753281,975000
601.6238882753281,65000,15,489.1676933901528,810.4052124023438,601.6238882753281,1040000
601.6238882753281,65000,16,474.95571688575654,680.0042114257812,601.6238882753281,1105000
601.6238882753281,65000,17,478.93949335501213,1021.0477294921875,601.6238882753281,1170000
601.6238882753281,65000,18,403.5212984377727,881.9239501953125,601.6238882753281,1235000
601.6238882753281,65000,19,498.35963757616537,846.2213134765625,601.6238882753281,1300000
601.6238882753281,65000,20,383.0684930574173,707.7111206054688,601.6238882753281,1365000
601.6238882753281,65000,21,445.6262388520692,720.7655029296875,601.6238882753281,1430000
601.6238882753281,65000,22,489.6257447783595,703.6329956054688,601.6238882753281,1495000
601.6238882753281,65000,23,422.3208445113997,750.451904296875,601.6238882753281,1560000
601.6238882753281,65000,24,498.98339720353897,868.460205078125,601.6238882753281,1625000
601.6238882753281,65000,25,497.7277908661701,759.8521728515625,601.6238882753281,1690000
601.6238882753281,65000,26,453.4734324680642,809.2164916992188,601.6238882753281,1755000
601.6238882753281,65000,27,474.955943541035,745.031982421875,601.6238882753281,1820000
601.6238882753281,65000,28,490.5215105062041,856.27783203125,601.6238882753281,1885000
601.6238882753281,65000,29,500.7962871397302,678.6467895507812,601.6238882753281,1950000
601.6238882753281,65000,30,499.072877573856,746.9522094726562,601.6238882753281,2015000
601.6238882753281,65000,31,499.16363428065125,806.3856811523438,601.6238882753281,2080000
601.6238882753281,65000,32,499.1144669023075,775.11572265625,601.6238882753281,2145000
601.6238882753281,65000,33,463.7543722061164,952.9068603515625,601.6238882753281,2210000
601.6238882753281,65000,34,472.2433151052101,647.4609375,601.6238882753281,2275000
601.6238882753281,65000,35,463.5047027305227,800.0033569335938,601.6238882753281,2340000
601.6238882753281,65000,36,479.9873273348112,782.6832885742188,601.6238882753281,2405000
601.6238882753281,65000,37,494.1830410536072,703.1130981445312,601.6238882753281,2470000
601.6238882753281,65000,38,516.9333534518207,716.07421875,601.6238882753281,2535000
601.6238882753281,65000,39,496.8894032371475,653.2225952148438,601.6238882753281,2600000
601.6238882753281,65000,40,499.35971246834316,784.4581909179688,601.6238882753281,2665000
601.6238882753281,65000,41,461.92927048527866,645.40478515625,601.6238882753281,2730000
601.6238882753281,65000,42,499.34162700174574,687.0827026367188,601.6238882753281,2795000
601.6238882753281,65000,43,471.2932588490784,747.718017578125,601.6238882753281,2860000
601.6238882753281,65000,44,490.2216309175841,667.080810546875,601.6238882753281,2925000
601.6238882753281,65000,45,494.5740732662134,705.2017822265625,601.6238882753281,2990000
601.6238882753281,65000,46,558.6938221382931,761.567138671875,601.6238882753281,3055000
601.6238882753281,65000,47,444.06070263017665,740.2156372070312,601.6238882753281,3120000
601.6238882753281,65000,48,499.85438699358,777.9207153320312,601.6238882753281,3185000
601.6238882753281,65000,49,484.5778549485685,860.0858764648438,601.6238882753281,3250000
601.6238882753281,65000,50,410.1571239705002,780.4205322265625,601.6238882753281,3315000
601.6238882753281,65000,51,484.8780640788798,665.779052734375,601.6238882753281,3380000
601.6238882753281,65000,52,499.6732257633592,806.3048706054688,601.6238882753281,3445000
601.6238882753281,65000,53,499.21407117920756,783.7516479492188,601.6238882753281,3510000
601.6238882753281,65000,54,484.7130252374672,815.8603515625,601.6238882753281,3575000
601.6238882753281,65000,55,474.0083713480701,701.29638671875,601.6238882753281,3640000
601.6238882753281,65000,56,503.33269074743674,760.5053100585938,601.6238882753281,3705000
601.6238882753281,65000,57,481.6179333007313,592.5765380859375,601.6238882753281,3770000
601.6238882753281,65000,58,458.28105039100717,743.6670532226562,601.6238882753281,3835000
601.6238882753281,65000,59,500.5433299836146,717.6801147460938,601.6238882753281,3900000
601.6238882753281,65000,60,73.15326470624491,730.0214233398438,601.6238882753281,3965000
601.6238882753281,65000,61,495.12608976605685,697.8103637695312,601.6238882753281,4030000
601.6238882753281,65000,62,498.96097873159823,718.6368408203125,601.6238882753281,4095000
601.6238882753281,65000,63,442.6431705800235,749.7394409179688,601.6238882753281,4160000
601.6238882753281,65000,64,501.3106461023991,848.7138671875,601.6238882753281,4225000
601.6238882753281,65000,65,463.0758259783876,774.8925170898438,601.6238882753281,4290000
601.6238882753281,65000,66,508.9979143480439,634.3143920898438,601.6238882753281,4355000
601.6238882753281,65000,67,496.7555606788036,871.0480346679688,601.6238882753281,4420000
601.6238882753281,65000,68,498.03142461470617,704.5233764648438,601.6238882753281,4485000
601.6238882753281,65000,69,488.24040083824013,834.6828002929688,601.6238882753281,4550000
601.6238882753281,65000,70,461.62679722257036,889.6013793945312,601.6238882753281,4615000
805.5334279744676,65000,71,805.5334279744676,751.1909790039062,805.5334279744676,4680000
805.5334279744676,65000,72,501.1051452288924,877.9442749023438,805.5334279744676,4745000
805.5334279744676,65000,73,489.4869306213817,729.0091552734375,805.5334279744676,4810000
805.5334279744676,65000,74,497.09846616826724,896.749755859375,805.5334279744676,4875000
805.5334279744676,65000,75,499.7262963432506,898.9008178710938,805.5334279744676,4940000
805.5334279744676,65000,76,497.24670521845354,683.7233276367188,805.5334279744676,5005000
805.5334279744676,65000,77,499.39914146384916,776.9630737304688,805.5334279744676,5070000
805.5334279744676,65000,78,500.2739630284229,1164.44873046875,805.5334279744676,5135000
805.5334279744676,65000,79,505.96558953565966,888.17431640625,805.5334279744676,5200000
805.5334279744676,65000,80,476.46981547279705,779.854248046875,805.5334279744676,5265000
805.5334279744676,65000,81,463.63660988976824,801.6985473632812,805.5334279744676,5330000
805.5334279744676,65000,82,499.03037017014424,754.2013549804688,805.5334279744676,5395000
805.5334279744676,65000,83,499.98501935356757,594.6328735351562,805.5334279744676,5460000
805.5334279744676,65000,84,499.053846647579,832.7352905273438,805.5334279744676,5525000
805.5334279744676,65000,85,470.40759766289597,909.2850341796875,805.5334279744676,5590000
