actor/clip_fraction,actor/entropy,actor/iterations,actor/kl,actor/loss,actor/std,actor/stop,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.025960287,-0.8836469,80.0,0.0027363424,-0.0021807875,0.10000002,0.0,80.0,0.23272893,1.1890246,1.3208652,-0.15415266,-1.3281223,5000,0.64878005,1000,1000.0,1000,5,0.0,4.770238,3.0868158,0.98200524,5,1.4377061,1.3589597,-0.23364317,-1.4140762,15000,0.649349,1000,1000.0,1000,15,0.0,31.011197182699107,5.909400386736767,0.23794745342456736,15,8.714634019850516,15.0,22.97519040107727,15000.0,1.0,22.97519040107727,15000.0,652.878158489458,15000.0
0.022261048,-0.88364685,80.0,0.0022966245,-0.0026521871,0.10000001,0.0,80.0,0.012351772,0.5223633,1.3076248,-0.18738598,-1.3446383,5000,0.66218394,1000,1000.0,1000,5,0.0,27.025837,11.057329,0.3935446,5,12.899088,1.3575236,-0.15166299,-1.3763336,15000,0.64535373,1000,1000.0,1000,15,0.0,7.628539955476299,2.7994318468214865,0.3693595062213717,15,2.3223359103703003,30.0,21.418129444122314,15000.0,2.0,44.41278576850891,30000.0,700.3412711242338,30000.0
0.012224325,-0.8836469,80.0,0.0015541444,-0.001428685,0.10000002,0.0,80.0,0.006885481,0.44128272,1.3772564,-0.079068825,-1.3627529,5000,0.65996796,1000,1000.0,1000,5,0.0,8.517302,3.8728547,0.35288307,5,3.0210059,1.4181529,-0.17628072,-1.3684686,15000,0.6491742,1000,1000.0,1000,15,0.0,13.58415399491787,3.314845422586465,0.32295136695029214,15,3.6755231544251274,45.0,20.87344765663147,15000.0,3.0,65.30554842948914,45000.0,718.6163132583666,45000.0
0.03402252,-0.88364685,80.0,0.0043214383,-0.0025919103,0.10000001,0.0,80.0,0.012341945,0.27113032,1.2900578,-0.14558741,-1.3527875,5000,0.63923264,1000,1000.0,1000,5,0.0,1.4436712,0.8612696,0.402042,5,0.38573185,1.3508584,-0.11558023,-1.3746728,15000,0.6443019,1000,1000.0,1000,15,0.0,19.10786143434234,4.14812573499706,0.31046735736890696,15,4.8243745105903875,60.0,23.687947273254395,15000.0,4.0,89.01277232170105,60000.0,633.2334257150349,60000.0
0.029573822,-0.88364685,80.0,0.003829638,-0.0023880445,0.10000001,0.0,80.0,0.0031665757,0.27580592,1.3915371,-0.20541285,-1.3480595,5000,0.6690429,1000,1000.0,1000,5,0.0,10.41039,3.8702774,0.242272,5,4.234723,1.3293556,-0.20781274,-1.3662966,15000,0.6535404,1000,1000.0,1000,15,0.0,11.777005955693312,3.4395256308926037,0.24724902283924166,15,3.2515745255397706,75.0,21.324864625930786,15000.0,5.0,110.35762286186218,75000.0,703.4042308414083,75000.0
0.027250163,-0.8836469,80.0,0.0037164884,-0.002398963,0.10000002,0.0,80.0,0.029667983,0.17613226,1.3604038,-0.23943257,-1.3818254,5000,0.6379275,1000,1000.0,1000,5,0.0,2.6251054,0.9869229,0.32445124,5,0.8432084,1.3436259,-0.1802964,-1.377997,15000,0.6202594,1000,1000.0,1000,15,0.0,23.273376079217996,3.571183545977692,0.3341905318084173,15,5.72127363968404,90.0,20.457934379577637,15000.0,6.0,130.83487725257874,90000.0,733.2118542218964,90000.0
0.054377746,-0.88364685,80.0,0.0044603543,-0.0030529047,0.10000001,0.0,80.0,0.006810742,0.3512681,1.2757193,-0.233123,-1.3334868,5000,0.6566561,1000,1000.0,1000,5,0.0,14.579592,7.1725035,0.6838144,5,4.906058,1.3459139,-0.18531406,-1.341086,15000,0.6352348,1000,1000.0,1000,15,0.0,11.83056932198815,3.2106305813475045,0.34837815261562355,15,2.7875763153296576,105.0,21.56962013244629,15000.0,7.0,152.4250202178955,105000.0,695.4225391033252,105000.0
0.02589798,-0.88364685,80.0,0.0034425384,-0.0022192344,0.10000001,0.0,80.0,0.0007902851,0.31530523,1.287466,-0.2514513,-1.3422749,5000,0.6470368,1000,1000.0,1000,5,0.0,7.3399687,4.4823675,0.30905756,5,2.9611475,1.3138096,-0.1317157,-1.3592942,15000,0.66174674,1000,1000.0,1000,15,0.0,8.120831952663139,2.991970675670503,0.18729167479614262,15,2.2522475954435834,120.0,21.171217918395996,15000.0,8.0,173.61607813835144,120000.0,708.5090738670386,120000.0
0.054572444,-0.88364685,58.0,0.003842125,-0.0027658243,0.10000003,0.005747126436781609,80.0,0.044053547,0.49530253,1.2750897,-0.17418504,-1.2993518,5000,0.6328998,1000,1000.0,1000,5,0.0,25.020203,7.318988,0.55906165,5,9.074607,1.3000259,-0.13850696,-1.3314693,15000,0.64673895,1000,1000.0,1000,15,0.0,36.90390481357463,6.7921167130659645,0.3378662403556518,15,9.536832750131122,135.0,20.34075903892517,15000.0,9.0,193.97740268707275,135000.0,737.4356075550177,135000.0
0.02987976,-0.88364685,80.0,0.0022947134,-0.0020302725,0.10000001,0.0,80.0,0.008349048,-0.0036779314,1.3426073,-0.1445968,-1.3539397,5000,0.6151493,1000,1000.0,1000,5,0.0,29.849401,7.7381697,0.8657316,5,11.192333,1.2655029,-0.21295197,-1.3142165,15000,0.62285006,1000,1000.0,1000,15,0.0,9.05375211511273,2.4250292302827194,0.2845111080969218,15,2.894091602569955,150.0,21.859101057052612,15000.0,10.0,215.85769152641296,150000.0,686.2130313982151,150000.0
